Prek Center Name;License Type;3 Year Old Capacity;4 Year Old Capacity;Total Capacity;Test;Grade and Subject;Valid Tests;Proficient Tests;Percent Proficient;Funding Source;Address;Zip Code;City;Full Address;Latitude;Longitude;Census Tract 2000;Census Tract 2010;Census Tract 2020;City Council District;Commission District;Super District;Geopoint
Egypt Elementary Pre-K;DOE;0;20;20.0;TNReady;3rd - ELA;63.0;15.0;23.8;Fund 1;4160 Karen Cove;38128;Memphis;4160 Karen Cove Memphis, TN 38128;35.2394656;-89.9303598;47157020522;47157020523;47157020523;7;6;9;34.15354582234108, -92.50896958858371
Sherwood Elementary Pre-K;DOE;10;10;20.0;TNReady;3rd - ELA;66.0;11.0;16.7;VPK;1156 Robin Hood Lane;38111;Memphis;1156 Robin Hood Lane Memphis, TN 38111;35.1000406;-89.9375849;47157008000;47157008000;47157008000;4;10;9;34.1535454388994, -92.50896958178785
Bruce Elementary Pre-K;DOE;20;20;40.0;TNReady;3rd - ELA;69.0;12.0;17.4;VPK;581 S. Bellevue;38104;Memphis;581 S. Bellevue Memphis, TN 38104;35.1311735;-90.0225918;47157004600;47157004600;47157004600;6;8;8;34.15354550870771, -92.5089698688637
Bruce Elementary Pre-K;DOE;4;36;40.0;TNReady;3rd - ELA;69.0;12.0;17.4;VPK/Head Start;581 S. Bellevue;38104;Memphis;581 S. Bellevue Memphis, TN 38104;35.1311735;-90.0225918;47157004600;47157004600;47157004600;6;8;8;34.15354550870771, -92.5089698688637
Snowden School Pre-K;DOE;0;20;20.0;TNReady;3rd - ELA;128.0;49.0;38.3;Fund 1;1870 North Parkway;38112;Memphis;1870 North Parkway Memphis, TN 38112;35.1540346;-89.9962113;47157001600;47157001600;47157001600;5;7;9;34.15354557617894, -92.50896978691567
Richland Elementary Pre-K;DOE;20;20;40.0;TNReady;3rd - ELA;130.0;97.0;74.6;619;5440 Rich Road;38120;Memphis;5440 Rich Road Memphis, TN 38120;35.1367147;-89.8810705;47157009200;47157009200;47157009201;2;5;9;34.153545549728804, -92.50896940353131
Dexter Elementary Pre-K;DOE;0;40;40.0;TNReady;3rd - ELA;147.0;34.0;23.1;Fund 1;7105 Dexter Road;38016;Memphis;7105 Dexter Road Memphis, TN 38016;35.1672326;-89.825716;47157021123;47157021124;47157021124;;5;;34.15354564347417, -92.50896922774682
Dexter Elementary Pre-K;DOE;20;20;40.0;TNReady;3rd - ELA;147.0;34.0;23.1;VPK;7105 Dexter Road;38016;Memphis;7105 Dexter Road Memphis, TN 38016;35.1672326;-89.825716;47157021123;47157021124;47157021124;;5;;34.15354564347417, -92.50896922774682
Dexter Elementary Pre-K;DOE;4;36;40.0;TNReady;3rd - ELA;147.0;34.0;23.1;VPK/Head Start;7105 Dexter Road;38016;Memphis;7105 Dexter Road Memphis, TN 38016;35.1672326;-89.825716;47157021123;47157021124;47157021124;;5;;34.15354564347417, -92.50896922774682
Bailey Station Elementary School Pre-K;DOE;40;40;80.0;TNReady;3rd - ELA;170.0;110.0;64.7;VPK;3435 Bailey Station;38017;Collierville;3435 Bailey Station Collierville, TN 38017;35.0548342;-89.7244546;47157021530;47157021530;47157021530;;2;;34.15354535390832, -92.50896886924114
Kidz Palace Learning Center;DHS;9;9;18.0;;;;;;tuition;1189 Finley;38116;Memphis;1189 Finley Memphis, TN 38116;35.0294251;-90.0244106;47157022111;47157022111;47157022111;3;11;8;34.15354522951336, -92.50896985251799
Mid-South Gifted Academy;DOE;84;84;168.0;;;;;;tuition;121 E. South Street;38017;Collierville;121 E. South Street Collierville, TN 38017;35.0383992;-89.6650526;47157021620;47157021620;47157021620;;2;;34.1535453197085, -92.50896866980355
Creative Life Preparatory School;Unlicensed;10;10;20.0;;;;;;tuition;1222 Riverside Blvd;38106;Memphis;1222 Riverside Blvd Memphis, TN 38106;35.1146641;-90.0739428;47157005200;47157980200;47157980200;6;8;8;34.15354545408633, -92.50897003452593
South Parkway Kiddie Learning Center;DOE;27;33;60.0;;;;;;Head Start;1408 Gaither Pkwy;38106;Memphis;1408 Gaither Pkwy Memphis, TN 38106;35.10891106;-90.03105126;47157005900;47157005900;47157005900;4;8;8;34.1535454461487, -92.50896989186342
Midtown Montessori School;DOE;40;40;80.0;;;;;;tuition;1738 Galloway Ave.;38112;Memphis;1738 Galloway Ave. Memphis, TN 38112;35.1509992;-90.0017205;47157002600;47157002600;47157002600;5;7;9;34.15354556685411, -92.50896980441118
Binghampton Christian Academy;DOE;40;40;80.0;;;;;;tuition;175 N TILLMAN STREET;38111;Memphis;175 N TILLMAN STREET Memphis, TN 38111;35.1367144;-89.9622108;47157003000;47157003000;47157003000;5;7;9;34.15354553491607, -92.50896967102409
Learning Tree Daycare Ctr@ Bartlett, INC;DHS;12;12;24.0;;;;;;tuition;2780 Summer Oaks;38134;Bartlett;2780 Summer Oaks Bartlett, TN 38134;35.2017829;-89.8428252;47157020622;47157020622;47157020622;;3;;34.1535457350431, -92.50896929173669
Porter-Leath & University of Memphis;DHS;60;60;120.0;;;;;;tuition;2869 Park Ave;38114;Memphis;2869 Park Ave Memphis, TN 38114;35.1077819;-89.9666246;47157007900;47157007900;47157007900;4;9;8;34.153545454814896, -92.50896967922199
Parkway Village Elementary ELP;DOE;40;40;80.0;;;;;;tuition;3000 Claudette Road;38118;Memphis;3000 Claudette Road Memphis, TN 38118;35.0669197;-89.9244909;47157010610;47157010610;47157010610;4;12;9;34.15354535051506, -92.50896953134864
Kidazzle-Flying Start;DHS;34;34;68.0;;;;;;tuition;3194 Independent Drive;38118;Memphis;3194 Independent Drive Memphis, TN 38118;35.0671136;-89.9572704;47157010420;47157980100;47157980100;3;12;8;34.15354534506269, -92.50896963945443
Red Robin's Academy of Learning, INC;DOE;0;40;40.0;;;;;;F8M;3311 Kimball;38111;Memphis;3311 Kimball Memphis, TN 38111;35.0940288;-89.952315;47157008120;47157008120;47157008120;4;9;8;34.15354541973388, -92.50896962902809
Lil Daniel and Friends Learning Center;DHS;10;10;20.0;;;;;;tuition;3327 Park Avenue;38111;Memphis;3327 Park Avenue Memphis, TN 38111;35.1075507;-89.9516596;47157007900;47157007900;47157007900;4;9;8;34.15354545691306, -92.50896962983656
University Of Little Scholars S.T.E.A.M.;DHS;8;8;16.0;;;;;;tuition;3333 E. Shelby Dr.;38118;Memphis;3333 E. Shelby Dr. Memphis, TN 38118;35.0202573;-89.9528653;47157021900;47157021900;47157021900;3;12;8;34.153545217447544, -92.50896961464366
Greater Memphis Adventist Academy;Unlicensed;10;10;20.0;;;;;;tuition;3333 Old Brownsville Rd;38134;Memphis;3333 Old Brownsville Rd Memphis, TN 38134;35.2174539;-89.8846422;47157020651;47157020651;47157020651;1;6;9;34.15354577035913, -92.50896943303457
Ridgeway Early Learning Center;DOE;8;72;80.0;;;;;;VPK/Head Start;3435 Ridge Meadow Parkway;38115;Memphis;3435 Ridge Meadow Parkway Memphis, TN 38115;35.0540048;-89.8581424;47157021721;47157021721;47157021721;3;13;8;34.153545327230866, -92.50896930978367
Church of the Incarnation Preschool;DHS;45;45;90.0;;;;;;tuition;360 Bray Station Rd.;38017;Collierville;360 Bray Station Rd. Collierville, TN 38017;35.0489844;-89.7041218;47157021530;47157021530;47157021530;;2;;34.153545341587446, -92.50896880092611
Kids Academy Inc.;DHS;23;23;46.0;;;;;;tuition;3673 South Third Street;38109;Memphis;3673 South Third Street Memphis, TN 38109;35.0486324;-90.0629309;47157022310;47157022310;47157022310;6;11;8;34.15354527512314, -92.50896998372423
Memphis Heritage Christian School;Unlicensed;5;5;10.0;;;;;;tuition;3802 Gragg Ave;38108;Memphis;3802 Gragg Ave Memphis, TN 38108;35.1797466;-89.9330968;47157008900;47157008900;47157008900;7;6;9;34.15354565816929, -92.50896958449373
Roulhac's Preschool;DHS;12;12;24.0;;;;;;tuition;390 South Yates;38120;Memphis;390 South Yates Memphis, TN 38120;35.1204862;-89.87579;47157009600;47157009600;47157009600;5;10;9;34.15354550621524, -92.50896938255983
Shrine School Pre-K;DOE;60;60;120.0;;;;;;619;4259 Forest View Drive;38118;Memphis;4259 Forest View Drive Memphis, TN 38118;35.0593081;-89.9219699;47157010630;47157010630;47157010630;4;12;9;34.15354533011413, -92.5089695213664
TLC Learning Academy;DHS;6;6;12.0;;;;;;tuition;4364 Millbranch Road;38116;Memphis;4364 Millbranch Road Memphis, TN 38116;35.0294801;-90.0071041;47157022112;47157022112;47157022131;3;11;8;34.15354523282334, -92.50896979547625
Destination Education;DHS;11;11;22.0;;;;;;tuition;4744 Riverdale Rd;38141;Memphis;4744 Riverdale Rd Memphis, TN 38141;35.0188693;-89.8307247;47157021751;47157021751;47157021751;3;13;9;34.15354523593985, -92.50896921168156
St. Luke's UMC Day School;DHS;20;20;40.0;;;;;;tuition;480 S Highland St;38111-4302;Memphis;480 S Highland St Memphis, TN 38111-4302;35.1185756;-89.9452564;47157007300;47157007300;47157007300;5;10;9;34.15354548829795, -92.50896961114815
Memphis Childcare Academy;DHS;10;10;20.0;;;;;;tuition;4970 Raleigh LaGrange Rd.;38128;Memphis;4970 Raleigh LaGrange Rd. Memphis, TN 38128;35.1954829;-89.8977934;47157020542;47157020542;47157020542;1;6;9;34.153545707742396, -92.5089694715654
Faith Lutheran Preschool;DHS;40;40;80.0;;;;;;tuition;507 N Byhalia Rd;38017;Collierville;507 N Byhalia Rd Collierville, TN 38017;35.0529552;-89.6872767;47157021530;47157021530;47157021530;;2;;34.153545355545255, -92.50896874626527
Sharing God's Love Learning Center;DHS;2;2;4.0;;;;;;tuition;5095 Millbranch;38116;Memphis;5095 Millbranch Memphis, TN 38116;35.0094076;-90.007989;47157022120;47157022121;47157022121;3;11;8;34.153545177649036, -92.50896979398598
Shady Grove;DOE;2;18;20.0;;;;;;VPK;5360 Shady Grove Rd;38120;Memphis;5360 Shady Grove Rd Memphis, TN 38120;35.1236642;-89.884222;47157009600;47157009600;47157009600;5;10;9;34.15354551338595, -92.50896941105518
Creative Beginnings Learning Academy;DHS;10;10;20.0;;;;;;tuition;5421 Knight Arnold Road;38115;Memphis;5421 Knight Arnold Road Memphis, TN 38115;35.0614431;-89.8828496;47157010820;47157010820;47157010820;4;12;8;34.153545343106806, -92.50896939286845
Central Baptist School;DOE;40;40;80.0;;;;;;tuition;5470 Raleigh LaGrange Road;38134;Memphis;5470 Raleigh LaGrange Road Memphis, TN 38134;35.1851688;-89.881294;47157020621;47157020621;47157020621;1;6;9;34.15354568248641, -92.50896941490755
Sensational Enlightenment;DOE;40;40;80.0;;;;;;tuition;5960 KNIGHT ARNOLD ROAD EXT;38115;Memphis;5960 KNIGHT ARNOLD ROAD EXT Memphis, TN 38115;35.0611948;-89.8647152;47157021721;47157021721;47157021721;3;13;8;34.15354534573669, -92.50896933303078
St. Ann Catholic School - Bartlett;Unlicensed;18;18;36.0;;;;;;tuition;6529 Stage Rd, Bartlett, TN 38134;38134;Bartlett;6529 Stage Rd, Bartlett, TN 38134 Bartlett, TN 38134;35.203426;-89.8464705;47157020622;47157020622;47157020622;;3;;34.15354573888094, -92.50896930411481
Memphis Oral School for the Deaf;DOE;60;60;120.0;;;;;;tuition;7901 Poplar Avenue;38138;Germantown;7901 Poplar Avenue Germantown, TN 38138;35.0875526;-89.7995291;47157021341;47157021341;47157021341;;4;;34.15354542987516, -92.50896912392128
La Petite Academy @ Meadowvale;DHS;9;9;18.0;;;;;;tuition;8037 Meadowvale Lane;38125;Memphis;8037 Meadowvale Lane Memphis, TN 38125;35.0275012;-89.7952781;47157021510;47157021510;47157021547;;4;;34.15354526606801, -92.50896909672117
Cadence Academy Preschool;DOE;38;38;76.0;;;;;;tuition;8200 Macon Road;38018;Memphis;8200 Macon Road Memphis, TN 38018;35.1553181;-89.7896806;47157021135;47157021135;47157021135;2;4;9;34.15354561739822, -92.50896910633381
Tipton-Rosemark Academy;Unlicensed;10;10;20.0;;;;;;tuition;8696 Rosemark Rd;38053;Millington;8696 Rosemark Rd Millington, TN 38053;35.3640686;-89.7715617;47157020700;47157020700;47157020700;;1;;34.15354619282927, -92.50896909243873
Porter Leath Children's Early Head Start;DHS;19;19;38.0;;;;;;tuition;890 North Manassas St.;38107;Memphis;890 North Manassas St. Memphis, TN 38107;35.1650788;-90.0312327;47157002000;47157002000;47157002000;7;8;8;34.15354560005478, -92.50896990479475
Knowledge Quest @ College Park 21st CCLC;DOE;20;20;40.0;;;;;;F8M;990 College Park Drive;38126;Memphis;990 College Park Drive Memphis, TN 38126;35.1200968;-90.0330146;47157004800;47157011600;47157011600;6;8;8;34.15354547644711, -92.50896990079204
Memphis Business Academy Gmtwn Comm PreK;DOE;9;11;20.0;TNReady;3rd - ELA;22.0;2.0;9.1;Head Start;4442 S. Germantown Road;38125;Memphis;4442 S. Germantown Road Memphis, TN 38125;35.0271097;-89.8219791;47157021745;47157021745;47157021745;;13;;34.153545260120836, -92.5089691846596
Gardenview Elementary School Pre-K;DOE;18;22;40.0;TNReady;3rd - ELA;23.0;2.0;8.7;Head Start;4075 Hartz Road;38116;Memphis;4075 Hartz Road Memphis, TN 38116;35.0370955;-89.9973771;47157022022;47157022022;47157022026;3;11;8;34.15354525547057, -92.5089697650817
Dunbar Elementary School Pre-K;DOE;2;18;20.0;TNReady;3rd - ELA;33.0;6.0;18.2;VPK/Head Start;2606 Select Ave.;38114;Memphis;2606 Select Ave. Memphis, TN 38114;35.1067104;-89.9755135;47157006800;47157006800;47157006800;4;9;8;34.153545450255585, -92.5089697082905
Jackson Elementary Pre-K;DOE;10;10;20.0;TNReady;3rd - ELA;36.0;11.0;30.6;VPK;3925 Wales Avenue;38108;Memphis;3925 Wales Avenue Memphis, TN 38108;35.1844053;-89.9290723;47157008900;47157008900;47157008900;7;6;9;34.153545671672084, -92.50896957224923
Westside Elementary Pre-K;DOE;10;10;20.0;TNReady;3rd - ELA;40.0;6.0;15.0;Head Start;3347 Dawn Drive;38127;Memphis;3347 Dawn Drive Memphis, TN 38127;35.2171948;-90.0373404;47157009900;47157009901;47157009901;7;8;8;34.1535457417744, -92.50896993637335
Westside Elementary Pre-K;DOE;10;10;20.0;TNReady;3rd - ELA;40.0;6.0;15.0;VPK;3347 Dawn Drive;38127;Memphis;3347 Dawn Drive Memphis, TN 38127;35.2171948;-90.0373404;47157009900;47157009901;47157009901;7;8;8;34.1535457417744, -92.50896993637335
Sharpe Elementary Pre-K;DOE;10;10;20.0;TNReady;3rd - ELA;44.0;10.0;22.7;Head Start;3431 SHARPE;38111;Memphis;3431 SHARPE Memphis, TN 38111;35.0858593;-89.9481673;47157008200;47157008200;47157008200;4;10;8;34.153545398100846, -92.50896961356064
Sharpe Elementary Pre-K;DOE;2;18;20.0;TNReady;3rd - ELA;44.0;10.0;22.7;VPK/Head Start;3431 SHARPE;38111;Memphis;3431 SHARPE Memphis, TN 38111;35.0858593;-89.9481673;47157008200;47157008200;47157008200;4;10;8;34.153545398100846, -92.50896961356064
Geeter K-8 Elementary Pre-K;DOE;9;11;20.0;TNReady;3rd - ELA;45.0;;;Head Start;4649 Horn Lake Road;38109;Memphis;4649 Horn Lake Road Memphis, TN 38109;35.0216753;-90.0693285;47157022330;47157022330;47157022330;6;11;8;34.153545200073836, -92.50896999889584
Promise Academy @ Spring Hill Pre-K;DOE;20;20;40.0;TNReady;3rd - ELA;48.0;6.0;12.5;tuition;3796 Frayser-Raleigh Road;38128;Memphis;3796 Frayser-Raleigh Road Memphis, TN 38128;35.2243397;-89.9378221;47157020522;47157020524;47157020524;1;6;9;34.15354577952324, -92.50896960986314
Lucy Elementary School Pre-K;DOE;2;18;20.0;TNReady;3rd - ELA;50.0;7.0;14.0;VPK/Head Start;6269 AMHERST ROAD;38053;Memphis;6269 AMHERST ROAD Memphis, TN 38053;35.2974844;-89.9256769;47157020221;47157020221;47157020221;;1;;34.15354598220835, -92.50896958588538
Lucy Elementary School Pre-K;DOE;20;20;40.0;TNReady;3rd - ELA;50.0;7.0;14.0;Head Start;6269 AMHERST ROAD;38053;Memphis;6269 AMHERST ROAD Memphis, TN 38053;35.2974844;-89.9256769;47157020221;47157020221;47157020221;;1;;34.15354598220835, -92.50896958588538
Keystone Elementary Pre-K;DOE;9;11;20.0;TNReady;3rd - ELA;53.0;11.0;20.8;Head Start;4301 Old Allen Road;38128;Memphis;4301 Old Allen Road Memphis, TN 38128;35.2431139;-89.9533094;47157020521;47157020521;47157020521;7;6;9;34.153545828150605, -92.50896966504207
Evans Elementary School Pre-K;DOE;6;54;60.0;TNReady;3rd - ELA;56.0;11.0;19.6;VPK/Head Start;4949 Cottonwood Road;38118;Memphis;4949 Cottonwood Road Memphis, TN 38118;35.0686331;-89.8983663;47157010710;47157010710;47157010710;4;12;8;34.153545359979944, -92.50896944560067
Hanley;DOE;36;44;80.0;TNReady;3rd - ELA;56.0;6.0;10.7;Head Start;680 Hanley St.;38114;Memphis;680 Hanley St. Memphis, TN 38114;35.1130452;-89.9765941;47157006700;47157006700;47157006700;4;9;8;34.153545467420145, -92.50896971324386
Levi Elementary Pre-K;DOE;20;20;40.0;TNReady;3rd - ELA;60.0;9.0;15.0;VPK;135 West Levi Road;38109;Memphis;135 West Levi Road Memphis, TN 38109;35.0420066;-90.0689409;47157022310;47157022310;47157022310;6;11;8;34.153545255866675, -92.50897000208234
Cromwell Elementary School Pre-K;DOE;9;11;20.0;TNReady;3rd - ELA;60.0;9.0;15.0;Head Start;4989 Cromwell Rd;38118;Memphis;4989 Cromwell Rd Memphis, TN 38118;35.0455682;-89.8971722;47157010900;47157022600;47157022600;3;12;8;34.153545296983836, -92.50896943659957
Scenic Hills Elementary Pre-K;DOE;30;30;60.0;TNReady;3rd - ELA;62.0;7.0;11.3;VPK;3450 Scenic Hills Hwy.;38128;Memphis;3450 Scenic Hills Hwy. Memphis, TN 38128;35.2065973;-89.9603461;47157020511;47157020511;47157020511;7;7;8;34.153545726784856, -92.50896968022151
Sheffield Elementary Pre-K;DOE;4;36;40.0;TNReady;3rd - ELA;70.0;7.0;10.0;VPK/Head Start;4290 Chuck Avenue;38118;Memphis;4290 Chuck Avenue Memphis, TN 38118;35.058578;-89.9205052;47157010630;47157010630;47157010630;4;12;9;34.1535453283805, -92.50896951637745
William H. Brewster Elementary Pre-K;DOE;20;20;40.0;TNReady;3rd - ELA;72.0;14.0;19.4;Head Start;2605 Sam Cooper Blvd;38112;Memphis;2605 Sam Cooper Blvd Memphis, TN 38112;35.1462625;-89.9737585;47157002700;47157002700;47157002700;5;7;9;34.1535455589766, -92.5089697111896
Lowrance School Pre-K;DOE;30;30;60.0;TNReady;3rd - ELA;73.0;9.0;12.3;VPK;7740 Lowrance Road;38125;Memphis;7740 Lowrance Road Memphis, TN 38125;35.0365961;-89.805421;47157021745;47157021745;47157021745;;13;;34.1535452891429, -92.50896913215601
Southwind Elementary Pre-K;DOE;0;60;60.0;TNReady;3rd - ELA;77.0;62.0;80.5;F8M;8155 Meadowvale Drive;38125;Memphis;8155 Meadowvale Drive Memphis, TN 38125;35.0259021;-89.7910663;47157021510;47157021510;47157021547;;4;;34.15354526245421, -92.50896908248514
Fox Meadows Elementary School Pre-K;DOE;18;22;40.0;TNReady;3rd - ELA;79.0;34.0;43.0;Head Start;2960 EMERALD;38115;Memphis;2960 EMERALD Memphis, TN 38115;35.0680919;-89.8790881;47157010720;47157010720;47157010720;4;12;8;34.153545362015855, -92.50896938192795
Berclair Elementary School Pre-K;DOE;0;40;40.0;TNReady;3rd - ELA;82.0;17.0;20.7;F8M;810 N. PERKINS;38122;Memphis;810 N. PERKINS Memphis, TN 38122;35.1533116;-89.9069235;47157008700;47157008700;47157008700;2;5;9;34.15354559049664, -92.50896949240445
Hickory Ridge Elementary Pre-K;DOE;20;20;40.0;TNReady;3rd - ELA;89.0;20.0;22.5;Head Start;3890 Hickory Hill Road;38115;Memphis;3890 Hickory Hill Road Memphis, TN 38115;35.0415841;-89.8641879;47157021732;47157021732;47157021757;3;13;8;34.153545292085795, -92.50896932698637
Schilling Farms Elementary School Pre-K;DOE;20;20;40.0;TNReady;3rd - ELA;98.0;73.0;74.5;619;935 Colbert Street South;38017;Collierville;935 Colbert Street South Collierville, TN 38017;35.0341065;-89.7032253;47157021520;47157021520;47157021545;;2;;34.153545300975175, -92.50896879470379
Kate Bond Elementary Pre-K;DOE;20;20;40.0;TNReady;3rd - ELA;101.0;35.0;34.7;Head Start;2727 Kate Bond Road;38133;Memphis;2727 Kate Bond Road Memphis, TN 38133;35.199362;-89.8044325;47157021113;47157021113;47157021113;1;5;9;34.15354573541663, -92.50896916463701
Tara Oaks Elementary School Pre-K;DOE;20;20;40.0;TNReady;3rd - ELA;101.0;72.0;71.3;tuition;600 Harpers Ferry Road;38017;Collierville;600 Harpers Ferry Road Collierville, TN 38017;35.0685066;-89.6481725;47157021613;47157021613;47157021613;;2;;34.1535454053054, -92.50896862076634
Westhaven Elementary School Pre-K;DOE;10;10;20.0;TNReady;3rd - ELA;103.0;11.0;10.7;VPK;4585 Hodge Road;38109;Memphis;4585 Hodge Road Memphis, TN 38109;35.0240056;-90.0498656;47157022322;47157022322;47157022322;6;11;8;34.15354521001339, -92.50896993524474
Cordova Elementary School Pre-K;DOE;0;20;20.0;TNReady;3rd - ELA;103.0;34.0;33.0;F8M;750 Sanga Road;38016;Memphis;750 Sanga Road Memphis, TN 38016;35.1463457;-89.7691565;47157021137;47157021137;47157021143;2;4;9;34.15354559655412, -92.50896903670247
Germanshire Elementary Pre-K;DOE;2;18;20.0;TNReady;3rd - ELA;104.0;37.0;35.6;SPED;3965 Germantown Road;38125;Memphis;3965 Germantown Road Memphis, TN 38125;35.0408021;-89.8272724;47157021744;47157021744;47157021744;2;13;9;34.15354529668138, -92.50896920511641
Treadwell Elementary Pre-K;DOE;30;30;60.0;TNReady;3rd - ELA;115.0;10.0;8.7;Head Start;3538 Given Ave.;38122;Memphis;3538 Given Ave. Memphis, TN 38122;35.1573721;-89.9427658;47157001200;47157001200;47157001200;5;7;9;34.15354559508235, -92.5089696114563
Shelby Oaks Elementary Pre-K;DOE;0;40;40.0;TNReady;3rd - ELA;115.0;31.0;27.0;F8M;6053 Summer Avenue;38134;Memphis;6053 Summer Avenue Memphis, TN 38134;35.1772409;-89.8605148;47157021111;47157021111;47157021111;1;5;9;34.15354566455156, -92.50896934466459
White Station Elementary School Pre-K;DOE;0;40;40.0;TNReady;3rd - ELA;117.0;39.0;33.3;F8M;4840 Chickasaw Road;38117;Memphis;4840 Chickasaw Road Memphis, TN 38117;35.1397358;-89.9009459;47157008600;47157008600;47157008600;5;5;9;34.15354555438058, -92.50896946971731
Belle Forest Community School Pre-K;DOE;0;40;40.0;TNReady;3rd - ELA;145.0;19.0;13.1;F8M;3135 RIDGEWAY ROAD;38115;Memphis;3135 RIDGEWAY ROAD Memphis, TN 38115;35.0629043;-89.858051;47157021721;47157021721;47157021721;3;13;8;34.15354535163845, -92.50896931143649
Arlington Elementary School Pre-K;DOE;60;60;120.0;TNReady;3rd - ELA;147.0;112.0;76.2;619;11825 Douglass Street;38002;Arlington;11825 Douglass Street Arlington, TN 38002;35.2854558;-89.6678083;47157020900;47157020900;47157020901;;1;;34.15354599631468, -92.50896873313631
Dexter Elementary Pre-K;DOE;20;20;40.0;TNReady;3rd - ELA;147.0;34.0;23.1;Head Start;7105 Dexter Road;38016;Memphis;7105 Dexter Road Memphis, TN 38016;35.1672326;-89.825716;47157021123;47157021124;47157021124;;5;;34.15354564347417, -92.50896922774682
Donelson Elementary School Pre-K;DOE;40;40;80.0;TNReady;3rd - ELA;156.0;121.0;77.6;619;12140 Donelson Farms Parkway;38002;Arlington;12140 Donelson Farms Parkway Arlington, TN 38002;35.2533337;-89.6585396;47157020820;47157020820;47157020837;;1;;34.15354590996944, -92.50896869552717
First Class Montessori School I;DOE;40;40;80.0;;;;;;tuition;1336 Peabody;38104;Memphis;1336 Peabody Memphis, TN 38104;35.1329106;-90.0170346;47157003600;47157003600;47157003600;6;8;8;34.15354551448304, -92.50896985092487
SCS Douglass Headstart;DOE;160;160;320.0;;;;;;Head Start;1600 Ash Street;38108;Memphis;1600 Ash Street Memphis, TN 38108;35.1761481;-89.9529429;47157009000;47157011100;47157011100;7;7;8;34.153545644684044, -92.50896964912964
Immaculate Conception Catholic Preschool;DOE;40;40;80.0;;;;;;tuition;1669 Central Avenue;38104;Memphis;1669 Central Avenue Memphis, TN 38104;35.1259306;-90.006069;47157003300;47157003300;47157003300;4;9;9;34.153545497354656, -92.50896981324225
Paideia Preparatory Academy LLC;DHS;12;12;24.0;;;;;;tuition;1679 BONNIE LANE, STE. 10;38016;Cordova;1679 BONNIE LANE, STE. 10 Cordova, TN 38016;35.1714267;-89.7912435;47157021135;47157021135;47157021135;2;2;9;34.153545661261845, -92.50896911502326
Hutchison Early Childhood Center;DOE;40;40;80.0;;;;;;tuition;1740 Ridgeway Road;38119;Memphis;1740 Ridgeway Road Memphis, TN 38119;35.0918123;-89.8552788;47157021320;47157021320;47157021320;2;10;9;34.15354543137282, -92.50896930864499
Grace St. Luke's Episcopal Preschool;DOE;40;40;80.0;;;;;;tuition;1760 Peabody Avenue;38104;Memphis;1760 Peabody Avenue Memphis, TN 38104;35.1325163;-90.00326;47157003200;47157003200;47157003200;4;9;9;34.153545515916896, -92.50896980542797
First Baptist Day School;DHS;60;60;120.0;;;;;;tuition;200 E. Parkway North;38112;Memphis;200 E. Parkway North Memphis, TN 38112;35.1416163;-89.9818912;47157002700;47157002700;47157002700;5;7;9;34.153545544758124, -92.50896973698023
Germantown United Methodist Preschool;DHS;35;35;70.0;;;;;;tuition;2331 S. Germantown Road;38138;Germantown;2331 S. Germantown Road Germantown, TN 38138;35.0857297;-89.8108727;47157021430;47157021430;47157021430;;4;;34.15354542280839, -92.50896916091712
Westminister Academy;DOE;40;40;80.0;;;;;;tuition;2500 RIDGEWAY ROAD;38115;Memphis;2500 RIDGEWAY ROAD Memphis, TN 38115;35.0818291;-89.857921;47157021331;47157021331;47157021331;2;10;9;34.15354540352948, -92.50896931516338
A Parent's Choice Learning Academy;DHS;2;2;4.0;;;;;;tuition;2501 Jackson;38108;Memphis;2501 Jackson Memphis, TN 38108;35.1763676;-89.9673469;47157000800;47157000800;47157000800;7;7;8;34.153545642656205, -92.50896969666307
Westminster Academy;Unlicensed;22;22;44.0;;;;;;tuition;2520 Ridgeway Rd;38119;Memphis;2520 Ridgeway Rd Memphis, TN 38119;35.0813141;-89.8580338;47157021331;47157021331;47157021331;2;10;9;34.15354540209742, -92.50896931542216
Great Expectations Prep Academy LLC;DHS;10;10;20.0;;;;;;tuition;2759 Colony Park Dr.;38118;Memphis;2759 Colony Park Dr. Memphis, TN 38118;35.0729868;-89.9223668;47157010610;47157010610;47157010610;4;12;9;34.15354536753094, -92.50896952567838
Lord's Tabernacle Christian Academy;DOE;40;40;80.0;;;;;;tuition;2818 MIDLAND AVE.;38111;Memphis;2818 MIDLAND AVE. Memphis, TN 38111;35.1200833;-89.9680031;47157007100;47157007100;47157007100;5;9;9;34.15354548827776, -92.50896968646758
New Hope Christian Academy Preschool;DOE;40;40;80.0;;;;;;tuition;3000 University Dr.;38127;Memphis;3000 University Dr. Memphis, TN 38127;35.2077247;-89.9897494;47157010220;47157010220;47157010220;7;7;8;34.153545724507254, -92.50896977740207
New Hope Christian Academy;Unlicensed;80;80;160.0;;;;;;tuition;3000 University St;38127;Memphis;3000 University St Memphis, TN 38127;35.2077247;-89.9897494;47157010220;47157010220;47157010220;7;7;8;34.153545724507254, -92.50896977740207
Global Children Services, Inc. @ Walnut;DHS;10;10;20.0;;;;;;tuition;3000 Walnut Grove Road;38111;Memphis;3000 Walnut Grove Road Memphis, TN 38111;35.1360329;-89.9619354;47157003000;47157003000;47157003000;5;7;9;34.15354553309855, -92.50896966996655
