Prek Center Name;License Type;3 Year Old Capacity;4 Year Old Capacity;Total Capacity;Test;Grade and Subject;Valid Tests;Proficient Tests;Percent Proficient;Funding Source;Address;Zip Code;City;Full Address;Latitude;Longitude;Census Tract 2000;Census Tract 2010;Census Tract 2020;City Council District;Commission District;Super District;Geopoint
Whitehaven Elementary Pre-K;DOE;0;40;40.0;TNReady;3rd - ELA;66.0;10.0;15.2;F8M;4783 Elvis Presley Blvd.;38116;Memphis;4783 Elvis Presley Blvd. Memphis, TN 38116;35.018505;-90.0265286;47157022120;47157022121;47157022121;3;11;8;34.15354519919797, -92.50896985710253
Bruce Elementary Pre-K;DOE;20;20;40.0;TNReady;3rd - ELA;69.0;12.0;17.4;Head Start;581 S. Bellevue;38104;Memphis;581 S. Bellevue Memphis, TN 38104;35.1311735;-90.0225918;47157004600;47157004600;47157004600;6;8;8;34.15354550870771, -92.5089698688637
William H. Brewster Elementary Pre-K;DOE;6;54;60.0;TNReady;3rd - ELA;72.0;14.0;19.4;VPK/Head Start;2605 Sam Cooper Blvd;38112;Memphis;2605 Sam Cooper Blvd Memphis, TN 38112;35.1462625;-89.9737585;47157002700;47157002700;47157002700;5;7;9;34.1535455589766, -92.5089697111896
Lowrance School Pre-K;DOE;4;36;40.0;TNReady;3rd - ELA;73.0;9.0;12.3;VPK/Head Start;7740 Lowrance Road;38125;Memphis;7740 Lowrance Road Memphis, TN 38125;35.0365961;-89.805421;47157021745;47157021745;47157021745;;13;;34.1535452891429, -92.50896913215601
Fox Meadows Elementary School Pre-K;DOE;2;18;20.0;TNReady;3rd - ELA;79.0;34.0;43.0;SPED;2960 EMERALD;38115;Memphis;2960 EMERALD Memphis, TN 38115;35.0680919;-89.8790881;47157010720;47157010720;47157010720;4;12;8;34.153545362015855, -92.50896938192795
Holmes Road Elementary Pre-K;DOE;2;18;20.0;TNReady;3rd - ELA;83.0;17.0;20.5;SPED;1083 Holmes Road;38116;Memphis;1083 Holmes Road Memphis, TN 38116;35.0052494;-90.0298824;47157022130;47157022130;47157022130;3;12;8;34.153545162256066, -92.50896986524828
Wells Station Elementary Pre-K;DOE;6;54;60.0;TNReady;3rd - ELA;88.0;46.0;52.3;VPK/Head Start;1610 Wells Station Road;38108;Memphis;1610 Wells Station Road Memphis, TN 38108;35.1753119;-89.9156864;47157009100;47157009100;47157009100;7;6;9;34.153545649193326, -92.50896952612362
Lucie E. Campbell Elementary Pre-K;DOE;9;11;20.0;TNReady;3rd - ELA;91.0;;;Head Start;3232 Birchfield Drive;38127;Memphis;3232 Birchfield Drive Memphis, TN 38127;35.2144137;-89.9691698;47157010220;47157010220;47157010220;1;6;9;34.15354574659658, -92.50896971102665
Germantown Elementary Pre-K;DOE;20;20;40.0;TNReady;3rd - ELA;93.0;39.0;41.9;619;2730 Cross Country Drive;38138;Memphis;2730 Cross Country Drive Memphis, TN 38138;35.0735635;-89.8020575;47157021342;47157021342;47157021355;;4;;34.15354539107363, -92.50896912918488
Oak Elementary Pre-K;DOE;20;20;40.0;TNReady;3rd - ELA;99.0;52.0;52.5;VPK;3573 Oak Road;38135;Bartlett;3573 Oak Road Bartlett, TN 38135;35.2240624;-89.8275808;47157020631;47157020633;47157020633;;3;;34.15354579888747, -92.508969246373
